Ares Suspect Male
Dionysus Suspect Male
Hermes Suspect Male
Aphrodite Suspect Female
Artemis Suspect Female
Hera Suspect Female
Apollo's_Chariot Vehicle Flying Blue
Athena's_Horse Vehicle Ground Blue
Eros'_Wings Vehicle Flying Blue
Hades'_Dogs Vehicle Ground Red
Hermes_Sandals Vehicle Flying Red
Poseidon's_Ship Vehicle Ground Red
Athena's_Forest Destination North East
Athens Destination North East
Atlas_Sky Destination North West
Dionysus_Vineyard Destination North West
Hades_Underworld Destination South West
Hephaestus_Volcano Destination South West
Mount_Olympus Destination South West
Phobe_Moon Destination South East
Poseidon_Ocean Destination South East
